M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
1,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
2,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
4,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
8,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
16,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
24,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
24,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
32,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
48,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
48,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
64,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
96,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
96,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
128,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
192,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
192,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
256,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
384,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
384,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
512,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
512,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
768,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
768,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
1024,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
1024,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
1536,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
1536,256,6144,False,torch.bfloat16,torch.bfloat16,False,False
2048,160,6144,False,torch.bfloat16,torch.bfloat16,False,False
